Location_key,Region_name,District,Population_density,Terrain_type,Distance_to_water
500,North Region,Benoue,369.24,Plains,9.3
501,East Region,Kadey,134.91,Plains,0.15
502,Adamawa Region,Mayo-Banyo,483.14,Forest,1.89
503,West Region,Bamboutos,413.85,Coastal,13.2
504,South Region,Mvila,205.55,Plains,1.22
505,Centre Region,Haute-Sanaga,494.41,Mountainous,15.02
506,Far North Region,Mayo-Kani,492.59,Mountainous,9.11
507,East Region,Kadey,172.2,Coastal,17.59
508,North Region,Mayo-Louti,278.57,Coastal,18.43
509,Adamawa Region,Faro-et-Deo,82.47,Forest,17.11
510,Northwest Region,Donga-Mantung,364.46,Mountainous,16.83
511,Adamawa Region,Faro-et-Deo,191.85,Forest,18.28
512,Adamawa Region,Faro-et-Deo,97.89,Plains,6.45
513,East Region,Boumba-et-Ngoko,474.3,Mountainous,9.89
514,Southwest Region,Fako,291.75,Mountainous,9.12
515,Centre Region,Nyong-et-Kelle,296.6,Mountainous,9.22
516,Northwest Region,Bui,448.69,Mountainous,1.43
517,Far North Region,Mayo-Sava,252.54,Forest,19.17
518,Northwest Region,Mezam,202.85,Mountainous,4.86
519,Littoral Region,Nkam,290.52,Mountainous,5.67
520,Centre Region,Lekie,357.92,Forest,11.48
521,Northwest Region,Ngo-Ketunjia,88.62,Mountainous,15.15
522,East Region,Boumba-et-Ngoko,408.53,Mountainous,19.35
523,Southwest Region,Fako,124.47,Forest,6.97
524,South Region,Vallee-du-Ntem,370.81,Forest,8.15
525,West Region,Nde,180.64,Forest,9.98
526,West Region,Nde,110.12,Coastal,10.96
527,Adamawa Region,Faro-et-Deo,56.6,Plains,2.62
528,Far North Region,Diamare,207.16,Plains,17.39
529,East Region,Boumba-et-Ngoko,104.69,Mountainous,14.21
530,Southwest Region,Meme,169.48,Mountainous,2.2
531,Southwest Region,Fako,355.47,Mountainous,8.44
532,West Region,Haut-Nkam,245.39,Mountainous,1.23
533,Far North Region,Mayo-Kani,142.04,Mountainous,12.5
534,East Region,Kadey,470.37,Mountainous,1.6
535,Far North Region,Mayo-Tsanaga,247.47,Coastal,5.41
536,South Region,Vallee-du-Ntem,146.6,Forest,9.26
537,East Region,Kadey,216.68,Coastal,0.39
538,Adamawa Region,Vina,78.86,Coastal,10.45
539,Centre Region,Mfoundi,473.7,Mountainous,15.16
540,Littoral Region,Nkam,54.75,Mountainous,17.6
541,Littoral Region,Wouri,84.19,Plains,10.42
542,Centre Region,Haute-Sanaga,202.0,Mountainous,1.77
543,East Region,Boumba-et-Ngoko,377.41,Coastal,13.51
544,North Region,Mayo-Rey,321.61,Coastal,2.91
545,Centre Region,Haute-Sanaga,437.46,Plains,19.65
546,Northwest Region,Donga-Mantung,407.48,Coastal,7.15
547,Northwest Region,Ngo-Ketunjia,251.04,Mountainous,17.83
548,Northwest Region,Momo,269.24,Forest,7.48
549,Littoral Region,Nkam,396.29,Plains,10.36
550,East Region,Boumba-et-Ngoko,69.86,Forest,17.38
551,Far North Region,Diamare,312.72,Mountainous,14.01
552,Adamawa Region,Faro-et-Deo,63.51,Coastal,10.91
553,West Region,Mifi,448.62,Plains,16.38
554,Adamawa Region,Mbere,411.13,Coastal,16.95
555,Southwest Region,Lebialem,324.73,Coastal,9.29
556,East Region,Haut-Nyong,359.73,Mountainous,9.0
557,North Region,Benoue,476.21,Coastal,9.36
558,South Region,Dja-et-Lobo,53.01,Coastal,9.41
559,Centre Region,Mfoundi,365.76,Plains,10.0
560,Northwest Region,Donga-Mantung,125.79,Mountainous,11.26
561,Littoral Region,Wouri,428.75,Forest,17.82
562,North Region,Faro,80.7,Coastal,15.85
563,Southwest Region,Lebialem,61.51,Forest,0.97
564,East Region,Kadey,159.8,Plains,17.33
565,Southwest Region,Ndian,368.02,Forest,9.12
566,Littoral Region,Nkam,134.66,Mountainous,6.28
567,South Region,Ocean,292.19,Plains,3.12
568,East Region,Haut-Nyong,89.35,Forest,2.84
569,Far North Region,Diamare,486.84,Plains,0.92
570,West Region,Menoua,371.17,Mountainous,15.36
571,Adamawa Region,Faro-et-Deo,151.14,Forest,11.07
572,Centre Region,Haute-Sanaga,309.67,Mountainous,18.04
573,Far North Region,Mayo-Danay,326.49,Plains,2.08
574,North Region,Benoue,125.24,Forest,4.31
575,South Region,Dja-et-Lobo,168.86,Plains,9.29
576,South Region,Vallee-du-Ntem,195.87,Mountainous,17.79
577,East Region,Haut-Nyong,459.69,Plains,4.53
578,Littoral Region,Sanaga-Maritime,451.0,Coastal,5.86
579,Far North Region,Diamare,219.74,Plains,3.11
580,North Region,Faro,290.24,Coastal,14.99
581,Southwest Region,Ndian,397.03,Forest,14.93
582,West Region,Menoua,469.71,Mountainous,9.34
583,Littoral Region,Moungo,228.87,Mountainous,4.43
584,South Region,Dja-et-Lobo,142.28,Plains,9.45
585,Adamawa Region,Faro-et-Deo,215.39,Mountainous,19.65
586,Northwest Region,Donga-Mantung,102.93,Plains,16.12
587,Northwest Region,Bui,256.27,Coastal,1.76
588,Northwest Region,Bui,56.96,Forest,5.34
589,Far North Region,Mayo-Tsanaga,401.21,Forest,16.27
590,Littoral Region,Nkam,94.05,Plains,18.83
591,East Region,Boumba-et-Ngoko,269.05,Forest,5.02
592,Centre Region,Lekie,115.95,Coastal,6.66
593,Southwest Region,Fako,386.89,Mountainous,5.85
594,North Region,Mayo-Rey,76.29,Coastal,5.78
595,West Region,Haut-Nkam,132.39,Forest,13.2
596,West Region,Menoua,374.66,Forest,19.76
597,North Region,Benoue,412.95,Forest,16.13
598,Southwest Region,Fako,324.69,Forest,11.27
599,Littoral Region,Wouri,195.69,Mountainous,7.58
600,North Region,Benoue,418.88,Plains,5.58
601,Northwest Region,Ngo-Ketunjia,399.18,Plains,13.85
602,Southwest Region,Ndian,409.01,Forest,14.57
603,Southwest Region,Fako,365.96,Plains,9.32
604,Littoral Region,Moungo,215.18,Plains,15.05
605,Adamawa Region,Djerem,113.38,Forest,7.22
606,South Region,Ocean,121.22,Mountainous,17.05
607,Southwest Region,Kupe-Manenguba,403.57,Mountainous,0.93
608,Centre Region,Mfoundi,197.79,Mountainous,11.38
609,North Region,Mayo-Louti,375.28,Coastal,0.1
610,Southwest Region,Fako,102.07,Mountainous,9.14
611,East Region,Lom-et-Djerem,466.2,Forest,2.4
612,Littoral Region,Moungo,91.92,Coastal,4.62
613,South Region,Mvila,447.1,Plains,4.68
614,Adamawa Region,Vina,115.0,Mountainous,1.42
615,West Region,Haut-Nkam,228.76,Forest,9.18
616,West Region,Mifi,301.61,Coastal,13.22
617,Littoral Region,Nkam,195.14,Plains,14.57
618,North Region,Mayo-Louti,298.41,Forest,1.9
619,Littoral Region,Nkam,246.47,Forest,13.1
620,Far North Region,Mayo-Kani,215.11,Mountainous,3.71
621,East Region,Haut-Nyong,150.41,Coastal,12.65
622,Southwest Region,Fako,392.66,Plains,14.06
623,Southwest Region,Lebialem,115.14,Forest,2.38
624,South Region,Dja-et-Lobo,248.25,Forest,4.24
625,Northwest Region,Ngo-Ketunjia,287.08,Coastal,10.44
626,Far North Region,Mayo-Danay,259.72,Plains,9.82
627,East Region,Haut-Nyong,114.81,Coastal,4.9
628,South Region,Ocean,322.51,Mountainous,16.73
629,South Region,Mvila,245.85,Plains,2.68
630,East Region,Kadey,181.74,Coastal,16.16
631,Littoral Region,Sanaga-Maritime,79.02,Plains,6.04
632,Southwest Region,Fako,118.71,Forest,4.65
633,Adamawa Region,Djerem,337.12,Mountainous,14.25
634,East Region,Lom-et-Djerem,450.46,Forest,12.55
635,North Region,Faro,250.88,Forest,3.59
636,East Region,Haut-Nyong,225.47,Mountainous,6.82
637,North Region,Benoue,233.36,Mountainous,1.7
638,West Region,Menoua,297.42,Mountainous,6.36
639,West Region,Mifi,416.99,Mountainous,10.23
640,Centre Region,Lekie,320.16,Coastal,1.19
641,Adamawa Region,Mayo-Banyo,56.57,Forest,0.86
642,Littoral Region,Moungo,252.42,Plains,17.58
643,Littoral Region,Wouri,135.6,Forest,4.85
644,Northwest Region,Mezam,196.88,Mountainous,11.94
645,East Region,Boumba-et-Ngoko,235.39,Coastal,3.17
646,Centre Region,Mfoundi,362.18,Coastal,15.01
647,South Region,Dja-et-Lobo,176.4,Coastal,0.9
648,Far North Region,Diamare,359.18,Coastal,4.75
649,East Region,Haut-Nyong,83.04,Forest,9.23
650,South Region,Dja-et-Lobo,282.23,Mountainous,6.36
651,Northwest Region,Donga-Mantung,290.98,Forest,0.84
652,Centre Region,Mfoundi,194.25,Plains,8.33
653,East Region,Boumba-et-Ngoko,126.96,Mountainous,11.26
654,Far North Region,Mayo-Kani,166.68,Plains,7.32
655,Far North Region,Mayo-Sava,422.99,Forest,4.92
656,Centre Region,Lekie,167.39,Coastal,17.14
657,Southwest Region,Meme,200.03,Mountainous,4.12
658,Far North Region,Diamare,413.27,Mountainous,9.18
659,East Region,Haut-Nyong,253.23,Coastal,9.93
660,East Region,Boumba-et-Ngoko,65.63,Forest,13.55
661,North Region,Mayo-Louti,460.86,Mountainous,7.66
662,Littoral Region,Nkam,345.18,Coastal,1.04
663,Southwest Region,Lebialem,50.47,Plains,0.62
664,Northwest Region,Mezam,287.55,Coastal,17.31
665,East Region,Boumba-et-Ngoko,312.27,Mountainous,15.87
666,Far North Region,Mayo-Tsanaga,124.24,Forest,4.79
667,Centre Region,Lekie,274.29,Mountainous,9.07
668,Adamawa Region,Mbere,349.38,Mountainous,4.2
669,West Region,Nde,335.52,Plains,16.22
670,Adamawa Region,Faro-et-Deo,437.93,Coastal,11.99
671,Littoral Region,Nkam,405.82,Plains,13.94
672,West Region,Mifi,433.2,Coastal,8.89
673,Southwest Region,Fako,72.39,Plains,2.31
674,West Region,Mifi,231.09,Mountainous,10.89
675,Adamawa Region,Mbere,84.49,Coastal,19.19
676,Southwest Region,Kupe-Manenguba,384.63,Forest,6.97
677,Adamawa Region,Mayo-Banyo,130.35,Forest,3.21
678,North Region,Mayo-Louti,373.7,Coastal,5.74
679,Southwest Region,Kupe-Manenguba,282.5,Coastal,16.15
680,Adamawa Region,Djerem,174.47,Coastal,2.81
681,Adamawa Region,Mbere,425.64,Forest,4.8
682,Southwest Region,Meme,151.95,Mountainous,18.61
683,Southwest Region,Lebialem,449.44,Mountainous,11.87
684,Adamawa Region,Djerem,380.74,Forest,9.37
685,West Region,Haut-Nkam,324.12,Forest,14.97
686,Far North Region,Mayo-Sava,354.14,Plains,11.42
687,Centre Region,Mfoundi,55.33,Coastal,6.32
688,Adamawa Region,Mayo-Banyo,86.15,Mountainous,9.74
689,Adamawa Region,Mbere,439.45,Plains,17.85
690,South Region,Dja-et-Lobo,342.22,Coastal,14.85
691,South Region,Vallee-du-Ntem,429.61,Plains,17.9
692,Southwest Region,Lebialem,408.68,Plains,12.73
693,Southwest Region,Lebialem,402.24,Mountainous,4.51
694,Far North Region,Mayo-Kani,207.56,Coastal,10.23
695,East Region,Boumba-et-Ngoko,252.52,Coastal,5.32
696,South Region,Ocean,252.8,Mountainous,6.03
697,Centre Region,Mbam-et-Kim,300.78,Mountainous,3.75
698,South Region,Ocean,205.9,Coastal,5.25
699,Far North Region,Mayo-Kani,165.27,Mountainous,18.32
700,Northwest Region,Bui,472.97,Forest,17.22
701,West Region,Menoua,229.27,Plains,13.56
702,Adamawa Region,Mbere,213.6,Mountainous,2.85
703,West Region,Menoua,467.16,Plains,19.49
704,West Region,Bamboutos,475.21,Coastal,10.69
705,North Region,Mayo-Rey,205.32,Coastal,14.81
706,Littoral Region,Sanaga-Maritime,103.6,Plains,18.53
707,Northwest Region,Mezam,427.07,Plains,7.6
708,Littoral Region,Sanaga-Maritime,64.1,Forest,15.45
709,East Region,Haut-Nyong,464.14,Plains,6.01
710,Adamawa Region,Djerem,65.18,Mountainous,3.99
711,Centre Region,Nyong-et-Kelle,298.74,Coastal,9.08
712,North Region,Benoue,200.46,Coastal,4.98
713,Northwest Region,Bui,383.34,Mountainous,3.88
714,West Region,Mifi,99.03,Forest,5.56
715,Far North Region,Diamare,208.85,Coastal,10.08
716,Northwest Region,Momo,120.78,Plains,10.8
717,Centre Region,Lekie,322.71,Coastal,16.94
718,North Region,Mayo-Louti,148.43,Plains,12.25
719,Northwest Region,Donga-Mantung,214.3,Plains,3.77
720,North Region,Mayo-Rey,481.39,Plains,5.86
721,Centre Region,Nyong-et-Kelle,135.12,Forest,0.19
722,South Region,Dja-et-Lobo,347.48,Forest,8.92
723,Northwest Region,Ngo-Ketunjia,258.16,Plains,16.36
724,North Region,Mayo-Louti,95.26,Plains,5.71
725,West Region,Haut-Nkam,420.54,Coastal,15.26
726,Far North Region,Mayo-Tsanaga,477.4,Mountainous,4.2
727,Adamawa Region,Vina,110.49,Plains,19.4
728,North Region,Benoue,271.84,Forest,0.22
729,East Region,Kadey,59.0,Coastal,6.9
730,East Region,Haut-Nyong,106.64,Plains,12.56
731,Far North Region,Mayo-Tsanaga,236.71,Plains,3.44
732,Northwest Region,Bui,489.14,Coastal,17.37
733,Adamawa Region,Faro-et-Deo,471.22,Coastal,1.55
734,Littoral Region,Moungo,190.38,Mountainous,10.86
735,East Region,Boumba-et-Ngoko,230.37,Plains,19.33
736,Adamawa Region,Faro-et-Deo,392.07,Coastal,8.17
737,Littoral Region,Nkam,237.61,Mountainous,19.86
738,East Region,Boumba-et-Ngoko,469.65,Plains,13.01
739,Far North Region,Mayo-Tsanaga,244.75,Plains,10.01
740,West Region,Bamboutos,440.89,Plains,0.49
741,South Region,Mvila,109.74,Mountainous,18.51
742,East Region,Kadey,245.1,Mountainous,1.44
743,East Region,Kadey,78.05,Forest,19.12
744,Northwest Region,Mezam,137.83,Coastal,10.77
745,West Region,Mifi,145.6,Mountainous,3.08
746,East Region,Boumba-et-Ngoko,195.63,Mountainous,4.43
747,Southwest Region,Kupe-Manenguba,76.6,Forest,15.94
748,South Region,Ocean,52.26,Coastal,8.8
749,Centre Region,Nyong-et-Kelle,135.84,Plains,3.42
750,Centre Region,Mfoundi,382.2,Mountainous,19.35
751,Adamawa Region,Vina,472.5,Plains,6.75
752,North Region,Faro,375.62,Coastal,19.55
753,West Region,Nde,446.49,Mountainous,7.3
754,East Region,Boumba-et-Ngoko,385.33,Plains,7.59
755,Littoral Region,Wouri,246.67,Forest,7.17
756,Adamawa Region,Mayo-Banyo,467.46,Coastal,17.63
757,Centre Region,Nyong-et-Kelle,192.79,Coastal,8.88
758,Centre Region,Nyong-et-Kelle,75.47,Forest,3.22
759,West Region,Nde,430.75,Plains,8.09
760,Southwest Region,Kupe-Manenguba,190.72,Coastal,6.2
761,West Region,Menoua,474.14,Plains,19.15
762,West Region,Mifi,340.77,Coastal,11.52
763,East Region,Kadey,380.12,Mountainous,2.62
764,South Region,Mvila,343.96,Forest,1.83
765,Littoral Region,Sanaga-Maritime,450.39,Mountainous,15.24
766,Adamawa Region,Djerem,338.34,Coastal,14.55
767,Littoral Region,Sanaga-Maritime,245.4,Mountainous,16.05
768,West Region,Menoua,281.47,Coastal,18.2
769,Littoral Region,Wouri,460.78,Coastal,0.5
770,Far North Region,Mayo-Danay,466.3,Forest,2.96
771,Littoral Region,Moungo,139.52,Mountainous,4.62
772,Far North Region,Diamare,99.44,Plains,14.79
773,West Region,Menoua,57.92,Mountainous,16.35
774,East Region,Haut-Nyong,151.89,Forest,6.5
775,Adamawa Region,Vina,277.26,Coastal,6.53
776,East Region,Boumba-et-Ngoko,63.81,Plains,18.89
777,Centre Region,Mfoundi,372.41,Coastal,13.01
778,North Region,Mayo-Rey,303.47,Forest,7.19
779,Far North Region,Mayo-Sava,367.33,Forest,11.89
780,Centre Region,Mfoundi,240.82,Mountainous,12.12
781,North Region,Mayo-Louti,357.61,Plains,10.69
782,Southwest Region,Kupe-Manenguba,174.16,Forest,18.66
783,Southwest Region,Lebialem,239.55,Plains,14.35
784,Northwest Region,Bui,199.55,Plains,0.19
785,Far North Region,Mayo-Tsanaga,211.33,Coastal,15.5
786,Centre Region,Lekie,253.56,Mountainous,12.93
787,Littoral Region,Sanaga-Maritime,494.06,Coastal,0.87
788,South Region,Vallee-du-Ntem,387.85,Plains,1.91
789,East Region,Kadey,201.69,Plains,12.15
790,Northwest Region,Ngo-Ketunjia,318.11,Coastal,12.24
791,Far North Region,Mayo-Tsanaga,105.88,Forest,15.21
792,Northwest Region,Donga-Mantung,103.77,Coastal,8.02
793,Centre Region,Nyong-et-Kelle,400.77,Mountainous,1.88
794,Southwest Region,Meme,487.94,Mountainous,1.71
795,North Region,Benoue,193.44,Forest,8.98
796,Far North Region,Mayo-Sava,451.62,Plains,4.28
797,Far North Region,Mayo-Danay,349.76,Coastal,1.86
798,Northwest Region,Ngo-Ketunjia,216.33,Coastal,9.4
799,East Region,Kadey,245.15,Coastal,16.95
800,South Region,Mvila,331.49,Coastal,6.02
801,South Region,Mvila,423.23,Coastal,9.2
802,Far North Region,Mayo-Tsanaga,397.41,Forest,8.48
803,Southwest Region,Lebialem,329.49,Mountainous,8.52
804,West Region,Mifi,474.97,Mountainous,10.71
805,West Region,Nde,139.86,Mountainous,13.17
806,Far North Region,Mayo-Danay,313.62,Plains,6.86
807,Northwest Region,Bui,117.45,Plains,2.32
808,South Region,Mvila,166.12,Coastal,8.26
809,Northwest Region,Ngo-Ketunjia,280.2,Coastal,15.9
810,Centre Region,Nyong-et-Kelle,394.23,Coastal,8.3
811,Centre Region,Nyong-et-Kelle,263.34,Coastal,11.7
812,Centre Region,Haute-Sanaga,403.12,Plains,3.83
813,Adamawa Region,Vina,131.71,Plains,4.79
814,Littoral Region,Wouri,309.16,Forest,11.07
815,East Region,Kadey,375.59,Coastal,12.07
816,Southwest Region,Meme,125.18,Plains,18.24
817,Littoral Region,Sanaga-Maritime,119.88,Plains,13.61
818,East Region,Lom-et-Djerem,299.15,Coastal,3.43
819,South Region,Mvila,179.2,Coastal,15.64
820,East Region,Kadey,329.26,Forest,7.84
821,East Region,Haut-Nyong,398.22,Forest,8.7
822,Littoral Region,Nkam,191.33,Plains,16.47
823,Centre Region,Mbam-et-Kim,136.68,Coastal,3.98
824,North Region,Faro,96.18,Plains,9.63
825,East Region,Haut-Nyong,169.51,Forest,18.9
826,West Region,Menoua,334.14,Forest,10.75
827,Southwest Region,Fako,233.46,Coastal,3.92
828,Far North Region,Mayo-Danay,90.94,Mountainous,18.6
829,Far North Region,Mayo-Danay,169.04,Mountainous,3.65
830,Centre Region,Lekie,275.32,Plains,7.41
831,South Region,Dja-et-Lobo,499.66,Plains,1.25
832,Far North Region,Mayo-Danay,405.61,Plains,14.09
833,Southwest Region,Ndian,196.77,Forest,9.18
834,Centre Region,Mfoundi,335.24,Forest,1.53
835,North Region,Benoue,386.19,Coastal,3.45
836,West Region,Haut-Nkam,459.84,Mountainous,14.66
837,Adamawa Region,Faro-et-Deo,220.68,Coastal,0.68
838,West Region,Bamboutos,434.59,Plains,8.02
839,Centre Region,Mfoundi,461.8,Forest,8.81
840,East Region,Lom-et-Djerem,457.69,Mountainous,10.34
841,West Region,Bamboutos,297.54,Mountainous,12.49
842,Far North Region,Mayo-Tsanaga,372.11,Forest,16.78
843,Far North Region,Mayo-Tsanaga,217.57,Forest,15.84
844,Centre Region,Nyong-et-Kelle,54.93,Mountainous,18.01
845,North Region,Faro,183.16,Mountainous,7.97
846,Southwest Region,Fako,75.29,Mountainous,1.87
847,Adamawa Region,Vina,259.97,Coastal,15.19
848,Centre Region,Lekie,348.14,Coastal,9.4
849,East Region,Kadey,412.46,Plains,12.18
850,East Region,Boumba-et-Ngoko,432.01,Forest,4.32
851,North Region,Mayo-Louti,443.66,Forest,1.86
852,Centre Region,Mfoundi,139.88,Forest,5.32
853,Littoral Region,Sanaga-Maritime,371.77,Mountainous,15.14
854,Southwest Region,Lebialem,411.8,Coastal,18.73
855,Centre Region,Haute-Sanaga,490.27,Plains,7.97
856,East Region,Kadey,57.04,Coastal,15.36
857,Adamawa Region,Vina,235.37,Plains,11.93
858,Centre Region,Haute-Sanaga,238.26,Forest,9.69
859,Northwest Region,Momo,324.95,Coastal,5.38
860,Littoral Region,Wouri,384.41,Coastal,11.37
861,East Region,Kadey,54.5,Forest,4.97
862,West Region,Mifi,146.98,Plains,7.66
863,East Region,Kadey,78.47,Coastal,3.22
864,Littoral Region,Wouri,324.6,Plains,9.35
865,Littoral Region,Nkam,101.2,Plains,11.83
866,North Region,Mayo-Rey,375.73,Coastal,2.49
867,West Region,Nde,257.5,Plains,12.57
868,East Region,Kadey,238.46,Forest,14.55
869,West Region,Mifi,157.21,Plains,8.96
870,Far North Region,Mayo-Danay,244.53,Forest,14.27
871,South Region,Vallee-du-Ntem,157.14,Forest,17.47
872,South Region,Mvila,493.42,Forest,17.08
873,South Region,Dja-et-Lobo,389.14,Mountainous,4.11
874,Centre Region,Haute-Sanaga,288.91,Mountainous,8.15
875,Littoral Region,Sanaga-Maritime,110.89,Forest,10.6
876,South Region,Vallee-du-Ntem,223.27,Coastal,10.54
877,Littoral Region,Sanaga-Maritime,257.51,Forest,4.37
878,West Region,Haut-Nkam,484.28,Plains,7.69
879,East Region,Haut-Nyong,84.95,Coastal,13.32
880,Centre Region,Nyong-et-Kelle,330.36,Forest,10.67
881,Centre Region,Lekie,180.19,Forest,14.33
882,Centre Region,Lekie,220.75,Plains,17.27
883,Adamawa Region,Djerem,349.86,Forest,5.67
884,North Region,Mayo-Rey,92.74,Coastal,1.11
885,Littoral Region,Nkam,265.64,Mountainous,17.17
886,Far North Region,Mayo-Kani,467.18,Forest,14.34
887,North Region,Mayo-Louti,169.02,Forest,4.83
888,South Region,Vallee-du-Ntem,419.29,Mountainous,6.62
889,Centre Region,Mfoundi,252.16,Forest,16.68
890,West Region,Mifi,212.23,Coastal,7.53
891,West Region,Nde,50.63,Mountainous,4.4
892,Northwest Region,Bui,80.84,Forest,5.35
893,North Region,Faro,189.1,Mountainous,14.26
894,South Region,Dja-et-Lobo,495.12,Forest,17.0
895,East Region,Haut-Nyong,193.92,Mountainous,11.9
896,North Region,Faro,491.7,Forest,11.6
897,East Region,Boumba-et-Ngoko,250.42,Plains,10.82
898,Northwest Region,Momo,369.86,Plains,18.36
899,Southwest Region,Fako,217.14,Plains,15.98
900,Centre Region,Mbam-et-Kim,411.64,Forest,10.66
901,East Region,Lom-et-Djerem,176.35,Forest,14.36
902,East Region,Lom-et-Djerem,303.72,Forest,11.45
903,West Region,Bamboutos,295.25,Forest,19.02
904,East Region,Kadey,483.5,Mountainous,17.8
905,Littoral Region,Sanaga-Maritime,236.65,Coastal,3.37
906,Adamawa Region,Vina,104.9,Coastal,12.21
907,Northwest Region,Bui,194.1,Mountainous,15.08
908,Centre Region,Haute-Sanaga,308.84,Mountainous,17.21
909,South Region,Dja-et-Lobo,187.5,Coastal,8.13
910,Centre Region,Mfoundi,157.86,Mountainous,18.07
911,Centre Region,Mfoundi,141.1,Forest,1.4
912,West Region,Bamboutos,154.34,Mountainous,1.41
913,Centre Region,Haute-Sanaga,405.79,Plains,17.03
914,Southwest Region,Fako,401.71,Forest,14.53
915,Centre Region,Haute-Sanaga,210.11,Plains,18.8
916,Adamawa Region,Vina,157.66,Plains,4.9
917,North Region,Mayo-Louti,406.66,Coastal,2.72
918,North Region,Mayo-Rey,376.21,Plains,12.08
919,Southwest Region,Lebialem,246.35,Coastal,15.9
920,West Region,Haut-Nkam,312.93,Mountainous,11.79
921,North Region,Faro,344.01,Plains,4.69
922,East Region,Boumba-et-Ngoko,457.78,Forest,14.02
923,Northwest Region,Mezam,95.81,Plains,19.3
924,Centre Region,Nyong-et-Kelle,255.3,Forest,1.45
925,Adamawa Region,Vina,433.57,Forest,18.16
926,East Region,Lom-et-Djerem,416.64,Mountainous,19.35
927,Far North Region,Mayo-Tsanaga,207.93,Plains,13.09
928,North Region,Faro,375.35,Mountainous,8.1
929,Southwest Region,Fako,365.41,Coastal,13.56
930,Southwest Region,Ndian,89.78,Mountainous,7.82
931,East Region,Boumba-et-Ngoko,283.93,Plains,11.19
932,East Region,Boumba-et-Ngoko,372.86,Forest,15.13
933,Far North Region,Mayo-Danay,405.51,Plains,13.67
934,Littoral Region,Nkam,156.09,Plains,1.95
935,North Region,Mayo-Rey,95.05,Coastal,0.83
936,Northwest Region,Donga-Mantung,131.49,Mountainous,14.47
937,Littoral Region,Sanaga-Maritime,394.56,Plains,16.62
938,Far North Region,Mayo-Sava,63.27,Forest,18.91
939,West Region,Haut-Nkam,128.88,Coastal,15.16
940,West Region,Menoua,333.81,Forest,17.45
941,Far North Region,Mayo-Sava,219.38,Coastal,14.72
942,Adamawa Region,Faro-et-Deo,382.47,Forest,11.59
943,Adamawa Region,Djerem,75.81,Coastal,2.33
944,Southwest Region,Fako,365.75,Plains,13.21
945,Littoral Region,Wouri,450.74,Mountainous,12.6
946,Southwest Region,Meme,215.29,Coastal,16.67
947,Littoral Region,Nkam,146.8,Mountainous,1.69
948,West Region,Menoua,409.96,Mountainous,18.6
949,Far North Region,Mayo-Danay,486.73,Mountainous,12.0
950,East Region,Kadey,494.49,Mountainous,10.1
951,Southwest Region,Meme,55.42,Coastal,6.19
952,Adamawa Region,Faro-et-Deo,365.99,Coastal,14.73
953,East Region,Haut-Nyong,491.22,Coastal,4.25
954,Southwest Region,Meme,471.34,Forest,16.06
955,North Region,Faro,94.32,Forest,7.88
956,Adamawa Region,Faro-et-Deo,96.21,Coastal,4.7
957,Northwest Region,Mezam,456.83,Coastal,19.09
958,Far North Region,Mayo-Tsanaga,185.97,Mountainous,18.11
959,Littoral Region,Moungo,455.46,Forest,9.87
960,South Region,Dja-et-Lobo,256.08,Plains,2.92
961,Littoral Region,Sanaga-Maritime,463.3,Coastal,8.82
962,Littoral Region,Moungo,272.67,Coastal,9.79
963,South Region,Ocean,70.9,Mountainous,4.67
964,Far North Region,Mayo-Tsanaga,170.02,Forest,13.09
965,Adamawa Region,Faro-et-Deo,344.26,Mountainous,14.08
966,Littoral Region,Wouri,257.63,Coastal,3.34
967,East Region,Haut-Nyong,262.99,Coastal,8.79
968,West Region,Mifi,494.71,Mountainous,8.19
969,North Region,Benoue,65.4,Mountainous,18.57
970,East Region,Haut-Nyong,369.2,Forest,1.71
971,East Region,Kadey,112.15,Plains,12.86
972,Centre Region,Nyong-et-Kelle,91.8,Mountainous,16.44
973,North Region,Benoue,64.38,Forest,16.87
974,Northwest Region,Bui,376.48,Plains,10.49
975,East Region,Kadey,403.21,Coastal,4.69
976,Adamawa Region,Mayo-Banyo,115.16,Plains,12.03
977,Southwest Region,Kupe-Manenguba,454.94,Coastal,9.43
978,Southwest Region,Fako,409.81,Mountainous,13.07
979,Littoral Region,Wouri,156.4,Mountainous,5.02
980,Far North Region,Mayo-Kani,375.55,Plains,5.78
981,East Region,Boumba-et-Ngoko,357.24,Forest,7.1
982,North Region,Mayo-Louti,82.73,Mountainous,7.75
983,South Region,Dja-et-Lobo,397.79,Mountainous,16.8
984,South Region,Ocean,292.27,Forest,11.51
985,Littoral Region,Sanaga-Maritime,469.05,Coastal,10.76
986,North Region,Mayo-Louti,368.27,Mountainous,5.73
987,West Region,Menoua,129.44,Plains,9.18
988,Southwest Region,Kupe-Manenguba,94.83,Coastal,8.44
989,West Region,Menoua,160.49,Plains,10.98
990,Far North Region,Mayo-Danay,187.74,Mountainous,11.54
991,Centre Region,Nyong-et-Kelle,150.14,Mountainous,11.98
992,Adamawa Region,Djerem,497.86,Mountainous,4.91
993,South Region,Dja-et-Lobo,145.75,Coastal,14.63
994,Adamawa Region,Djerem,424.8,Coastal,9.46
995,Centre Region,Mfoundi,132.55,Coastal,1.14
996,Littoral Region,Wouri,212.95,Plains,5.9
997,Adamawa Region,Mayo-Banyo,388.55,Plains,12.42
998,West Region,Nde,271.38,Forest,13.63
