Prevention_key,Nets_distributed,Spray_coverage,Control_method,Last_campaign_date
554,3190,43.55,Larvicide Application,2017-08-09
555,2359,63.37,Environmental Management,2021-12-25
556,1377,93.65,Environmental Management,2021-06-08
557,2091,85.26,Bed Net Distribution,2018-12-23
558,1992,61.91,Environmental Management,2020-01-19
559,2954,85.35,Environmental Management,2015-02-04
560,1001,47.23,Environmental Management,2019-01-02
561,4102,92.0,Environmental Management,2020-02-12
562,257,79.52,Environmental Management,2021-09-15
563,615,61.93,Bed Net Distribution,2015-12-01
564,2111,62.44,Environmental Management,2020-10-29
565,4503,44.31,Larvicide Application,2017-03-21
566,385,65.06,Larvicide Application,2019-01-07
567,1355,47.63,Environmental Management,2023-12-30
568,4876,45.4,Larvicide Application,2015-01-30
569,1716,50.43,Indoor Residual Spraying,2017-09-02
570,4569,70.95,Bed Net Distribution,2022-05-18
571,2915,93.96,Indoor Residual Spraying,2023-01-11
572,2688,63.9,Environmental Management,2016-02-29
573,4203,94.28,Larvicide Application,2015-08-04
574,1306,73.01,Indoor Residual Spraying,2018-05-20
575,4812,50.35,Environmental Management,2022-01-27
576,1569,54.46,Larvicide Application,2022-09-05
577,1148,45.12,Bed Net Distribution,2021-07-01
578,807,69.56,Bed Net Distribution,2021-03-15
579,3338,58.82,Larvicide Application,2017-06-24
580,2062,53.01,Indoor Residual Spraying,2018-11-24
581,3325,81.14,Environmental Management,2022-10-20
582,3383,84.74,Environmental Management,2021-10-09
583,4899,42.06,Larvicide Application,2021-09-03
584,1003,85.77,Larvicide Application,2020-06-17
585,665,45.13,Bed Net Distribution,2022-06-16
586,3880,68.84,Larvicide Application,2017-01-27
587,4682,52.18,Bed Net Distribution,2020-02-20
588,3443,85.76,Larvicide Application,2020-07-25
589,2165,64.58,Environmental Management,2015-04-22
590,2516,71.37,Larvicide Application,2015-06-01
591,1795,53.91,Larvicide Application,2015-03-05
592,2994,84.2,Environmental Management,2019-06-19
593,3483,55.55,Environmental Management,2022-09-02
594,3267,79.59,Bed Net Distribution,2023-11-27
595,3129,85.32,Larvicide Application,2019-03-18
596,827,55.34,Environmental Management,2022-07-15
597,2319,58.23,Environmental Management,2023-08-18
598,966,50.47,Bed Net Distribution,2022-07-11
599,536,68.97,Indoor Residual Spraying,2023-03-18
600,1174,57.55,Indoor Residual Spraying,2015-06-19
601,3201,79.69,Indoor Residual Spraying,2016-06-10
602,957,47.53,Environmental Management,2022-01-14
603,1595,93.7,Bed Net Distribution,2017-05-10
604,3262,62.38,Larvicide Application,2017-11-19
605,1088,53.76,Indoor Residual Spraying,2015-11-13
606,1270,84.22,Indoor Residual Spraying,2018-09-21
607,4850,87.6,Indoor Residual Spraying,2019-05-25
608,4615,76.78,Indoor Residual Spraying,2017-09-10
609,3776,46.61,Environmental Management,2017-01-05
610,1262,49.27,Environmental Management,2022-08-24
611,307,70.2,Indoor Residual Spraying,2022-01-06
612,4136,44.69,Larvicide Application,2017-11-12
613,4180,67.68,Bed Net Distribution,2016-06-18
614,2359,54.55,Indoor Residual Spraying,2023-05-11
615,1608,72.47,Bed Net Distribution,2023-09-30
616,1540,52.8,Environmental Management,2020-03-20
617,4476,60.7,Bed Net Distribution,2021-04-03
618,263,94.35,Larvicide Application,2022-06-11
619,2409,60.71,Environmental Management,2019-02-12
620,2243,82.88,Environmental Management,2022-06-23
621,3550,83.07,Indoor Residual Spraying,2015-12-14
622,2837,67.62,Indoor Residual Spraying,2021-02-18
623,884,90.69,Larvicide Application,2018-06-11
624,1120,63.36,Larvicide Application,2021-12-05
625,151,77.71,Indoor Residual Spraying,2021-09-29
626,1378,83.02,Indoor Residual Spraying,2020-05-16
627,2438,87.75,Environmental Management,2015-04-15
628,587,94.59,Larvicide Application,2022-10-18
629,1654,64.73,Bed Net Distribution,2017-08-24
630,2260,50.76,Environmental Management,2019-03-13
631,2369,73.15,Larvicide Application,2018-06-14
632,594,49.89,Bed Net Distribution,2016-06-23
633,3775,55.58,Environmental Management,2021-04-18
634,806,80.21,Environmental Management,2018-06-08
635,3756,50.14,Bed Net Distribution,2020-06-04
636,4047,90.03,Bed Net Distribution,2015-07-12
637,4499,86.07,Indoor Residual Spraying,2018-06-09
638,2862,51.97,Indoor Residual Spraying,2022-08-09
639,2035,45.52,Larvicide Application,2023-06-14
640,1277,41.8,Bed Net Distribution,2021-08-25
641,1073,90.6,Environmental Management,2021-08-24
642,714,57.22,Larvicide Application,2021-05-06
643,4891,46.96,Bed Net Distribution,2020-08-08
644,839,93.92,Indoor Residual Spraying,2021-02-17
645,2702,51.15,Bed Net Distribution,2021-12-12
646,3698,42.65,Environmental Management,2020-01-03
647,1164,69.77,Larvicide Application,2023-05-08
648,1174,77.55,Environmental Management,2019-05-03
649,3742,82.48,Bed Net Distribution,2020-09-19
650,2098,54.6,Environmental Management,2021-06-19
651,1547,49.46,Bed Net Distribution,2023-01-28
652,3604,86.64,Indoor Residual Spraying,2019-11-08
653,4497,43.88,Indoor Residual Spraying,2017-06-07
654,1642,51.81,Indoor Residual Spraying,2018-09-21
655,894,85.07,Indoor Residual Spraying,2019-12-10
656,1726,47.42,Larvicide Application,2015-03-16
657,965,58.65,Larvicide Application,2023-05-19
658,1268,48.47,Environmental Management,2022-12-04
659,131,82.07,Larvicide Application,2017-06-15
660,1297,59.15,Environmental Management,2023-02-05
661,507,69.42,Environmental Management,2019-02-17
662,4586,76.81,Larvicide Application,2015-11-15
663,1869,84.18,Bed Net Distribution,2022-01-02
664,3067,68.38,Indoor Residual Spraying,2015-10-08
665,4442,53.31,Bed Net Distribution,2019-04-20
666,2884,63.88,Environmental Management,2022-02-12
667,4629,92.46,Bed Net Distribution,2017-01-21
668,3004,81.14,Larvicide Application,2015-09-20
669,3331,53.48,Bed Net Distribution,2022-12-03
670,1944,91.59,Larvicide Application,2023-04-09
671,2265,50.11,Bed Net Distribution,2020-06-23
672,1469,90.09,Indoor Residual Spraying,2016-10-29
673,4132,41.93,Bed Net Distribution,2018-07-05
674,277,56.29,Bed Net Distribution,2020-01-26
675,4860,67.09,Bed Net Distribution,2019-01-27
676,794,74.34,Bed Net Distribution,2017-03-05
677,1441,74.05,Bed Net Distribution,2021-11-14
678,1539,40.66,Indoor Residual Spraying,2017-02-05
679,4875,73.41,Environmental Management,2021-05-25
680,4143,45.49,Bed Net Distribution,2019-11-10
681,4953,56.23,Indoor Residual Spraying,2023-03-25
682,3290,67.23,Larvicide Application,2022-08-15
683,3039,63.58,Bed Net Distribution,2022-12-23
684,4826,63.19,Larvicide Application,2016-09-08
685,2040,74.91,Larvicide Application,2022-06-08
686,4269,64.23,Indoor Residual Spraying,2016-02-18
687,2474,71.47,Larvicide Application,2017-06-30
688,823,52.52,Bed Net Distribution,2021-12-31
689,3506,86.8,Larvicide Application,2016-02-08
690,4509,49.44,Bed Net Distribution,2023-06-15
691,640,50.63,Environmental Management,2022-10-13
692,4041,82.79,Indoor Residual Spraying,2019-06-05
693,3355,86.49,Bed Net Distribution,2015-01-30
694,3193,91.67,Larvicide Application,2016-04-06
695,3424,47.97,Indoor Residual Spraying,2019-08-20
696,779,93.53,Environmental Management,2018-01-23
697,4467,94.91,Indoor Residual Spraying,2018-10-14
698,1032,48.82,Environmental Management,2017-04-09
699,1265,92.95,Environmental Management,2018-08-26
700,2354,73.17,Environmental Management,2017-04-29
701,2886,71.04,Indoor Residual Spraying,2018-03-21
702,838,86.51,Bed Net Distribution,2017-08-31
703,761,93.25,Indoor Residual Spraying,2018-07-12
704,4228,55.22,Indoor Residual Spraying,2020-12-05
705,965,75.84,Larvicide Application,2015-12-10
706,4384,73.0,Larvicide Application,2015-08-15
707,624,77.2,Bed Net Distribution,2019-02-20
708,436,76.96,Larvicide Application,2015-04-04
709,3303,72.38,Indoor Residual Spraying,2018-05-15
710,2836,73.83,Environmental Management,2015-02-28
711,1187,94.28,Environmental Management,2022-06-27
712,1797,51.92,Larvicide Application,2023-08-23
713,1106,52.95,Bed Net Distribution,2023-02-14
714,1735,56.62,Indoor Residual Spraying,2016-12-19
715,1308,77.98,Larvicide Application,2022-09-21
716,4876,89.28,Environmental Management,2020-01-02
717,2973,53.25,Environmental Management,2015-08-03
718,3669,77.18,Bed Net Distribution,2016-06-19
719,1787,60.83,Indoor Residual Spraying,2019-08-20
720,2131,63.04,Indoor Residual Spraying,2023-12-18
721,872,59.37,Larvicide Application,2021-05-24
722,4059,92.09,Indoor Residual Spraying,2021-09-25
723,4227,61.62,Indoor Residual Spraying,2018-12-30
724,4530,67.47,Larvicide Application,2018-05-23
725,595,43.96,Larvicide Application,2018-05-09
726,396,74.2,Larvicide Application,2020-10-19
727,1595,40.01,Indoor Residual Spraying,2017-02-10
728,2161,87.23,Larvicide Application,2017-05-10
729,4253,51.29,Environmental Management,2017-11-22
730,1467,61.9,Bed Net Distribution,2016-06-01
731,4281,68.2,Indoor Residual Spraying,2015-01-29
732,910,91.17,Environmental Management,2023-10-08
733,4897,40.93,Environmental Management,2020-07-23
734,3689,77.96,Bed Net Distribution,2020-04-10
735,3685,83.58,Larvicide Application,2016-12-05
736,4376,55.6,Bed Net Distribution,2017-09-06
737,4419,45.51,Environmental Management,2017-02-10
738,634,62.23,Larvicide Application,2021-10-04
739,469,66.61,Indoor Residual Spraying,2023-12-13
740,4021,88.22,Indoor Residual Spraying,2016-10-24
741,250,89.66,Indoor Residual Spraying,2017-05-21
742,2942,41.79,Bed Net Distribution,2020-03-15
743,4270,49.05,Environmental Management,2023-06-10
744,4596,86.9,Bed Net Distribution,2016-03-15
745,2291,90.55,Environmental Management,2021-02-22
746,3384,49.89,Environmental Management,2018-12-21
747,4563,63.36,Indoor Residual Spraying,2022-03-10
748,2366,70.44,Indoor Residual Spraying,2017-07-15
749,208,52.99,Indoor Residual Spraying,2022-11-01
750,4444,65.91,Environmental Management,2015-09-12
751,3798,83.14,Larvicide Application,2016-03-24
752,4172,86.93,Larvicide Application,2022-01-09
753,2559,56.51,Indoor Residual Spraying,2017-07-01
754,4889,87.35,Larvicide Application,2018-06-29
755,4648,85.92,Indoor Residual Spraying,2020-09-17
756,2204,47.31,Bed Net Distribution,2015-03-09
757,2680,42.92,Bed Net Distribution,2018-10-06
758,2743,69.87,Environmental Management,2015-04-20
759,1431,53.88,Environmental Management,2016-04-03
760,1197,47.14,Indoor Residual Spraying,2020-02-16
761,2312,85.19,Bed Net Distribution,2015-08-19
762,2089,76.69,Bed Net Distribution,2018-05-25
763,2840,91.2,Environmental Management,2022-10-20
764,2635,49.96,Larvicide Application,2022-12-17
765,4192,83.47,Larvicide Application,2018-12-12
766,2010,44.75,Larvicide Application,2019-12-29
767,3753,74.33,Environmental Management,2023-09-10
768,2885,84.76,Bed Net Distribution,2018-05-10
769,1322,86.34,Larvicide Application,2023-11-25
770,1035,51.17,Bed Net Distribution,2016-12-01
771,1216,55.5,Larvicide Application,2023-08-25
772,4785,63.2,Environmental Management,2021-09-23
773,2577,79.84,Environmental Management,2015-05-19
774,2911,54.23,Larvicide Application,2020-03-21
775,4949,62.69,Indoor Residual Spraying,2021-08-20
776,169,86.74,Larvicide Application,2021-02-21
777,582,77.82,Larvicide Application,2017-05-25
778,403,90.58,Environmental Management,2019-07-18
779,109,82.37,Environmental Management,2022-09-18
780,1584,93.1,Bed Net Distribution,2018-12-07
781,4427,67.56,Larvicide Application,2018-10-15
782,2300,78.67,Larvicide Application,2016-10-09
783,3145,66.4,Indoor Residual Spraying,2023-09-19
784,2332,58.12,Bed Net Distribution,2023-12-19
785,2671,70.59,Indoor Residual Spraying,2018-04-30
786,3916,40.14,Bed Net Distribution,2023-02-17
787,2979,74.37,Bed Net Distribution,2015-02-15
788,4817,67.27,Bed Net Distribution,2022-02-04
789,2959,78.21,Larvicide Application,2018-02-03
790,2645,66.68,Indoor Residual Spraying,2021-09-19
791,1946,87.42,Environmental Management,2022-10-16
792,386,65.04,Indoor Residual Spraying,2023-03-28
793,4526,44.62,Bed Net Distribution,2020-12-27
794,355,44.93,Bed Net Distribution,2016-04-21
795,970,51.88,Bed Net Distribution,2020-09-30
796,3817,42.19,Environmental Management,2023-05-04
797,4711,53.65,Larvicide Application,2015-12-21
798,904,52.72,Bed Net Distribution,2017-01-27
799,1770,92.4,Bed Net Distribution,2021-11-23
800,102,72.3,Environmental Management,2019-12-11
801,956,76.96,Bed Net Distribution,2020-05-22
802,789,52.19,Indoor Residual Spraying,2016-05-30
803,1302,71.38,Environmental Management,2023-04-27
804,4203,70.36,Bed Net Distribution,2021-02-17
805,1110,86.13,Indoor Residual Spraying,2021-08-27
806,3113,74.07,Bed Net Distribution,2022-04-21
807,4537,59.93,Bed Net Distribution,2018-11-08
808,2212,70.63,Indoor Residual Spraying,2018-02-08
809,3888,47.47,Indoor Residual Spraying,2019-11-15
810,4278,70.12,Indoor Residual Spraying,2019-08-25
811,2504,57.16,Indoor Residual Spraying,2023-11-29
812,1406,51.03,Environmental Management,2019-11-09
813,3111,52.32,Larvicide Application,2021-02-13
814,1757,50.39,Environmental Management,2021-05-16
815,4824,92.69,Larvicide Application,2020-08-16
816,1792,69.0,Indoor Residual Spraying,2022-04-07
817,1352,54.61,Environmental Management,2019-02-23
818,2363,79.47,Bed Net Distribution,2018-07-25
819,1081,60.72,Indoor Residual Spraying,2023-03-15
820,2827,55.4,Bed Net Distribution,2019-04-24
821,4608,94.76,Larvicide Application,2018-01-10
822,3344,54.15,Environmental Management,2019-04-12
823,987,72.34,Bed Net Distribution,2019-02-16
824,3621,60.25,Indoor Residual Spraying,2015-05-15
825,857,58.85,Bed Net Distribution,2019-08-14
826,2798,88.52,Bed Net Distribution,2017-10-23
827,2849,62.55,Larvicide Application,2020-09-21
828,2727,62.29,Environmental Management,2021-07-07
829,3391,66.87,Bed Net Distribution,2016-08-19
830,4961,90.85,Bed Net Distribution,2015-06-29
831,2558,40.43,Indoor Residual Spraying,2020-12-22
832,1879,66.91,Indoor Residual Spraying,2018-07-16
833,2269,78.96,Bed Net Distribution,2017-07-30
834,2515,66.03,Environmental Management,2020-10-07
835,4533,66.81,Bed Net Distribution,2016-10-08
836,2443,83.56,Larvicide Application,2022-03-10
837,2842,54.33,Larvicide Application,2019-05-28
838,1332,53.65,Environmental Management,2023-08-29
839,2318,70.64,Larvicide Application,2020-11-24
840,402,46.8,Bed Net Distribution,2021-05-30
841,2879,40.25,Bed Net Distribution,2018-05-23
842,4685,92.53,Indoor Residual Spraying,2015-12-10
843,4250,45.06,Bed Net Distribution,2015-12-24
844,1036,40.39,Environmental Management,2016-02-07
845,178,92.17,Indoor Residual Spraying,2017-01-29
846,1414,82.91,Larvicide Application,2022-11-13
847,3548,89.82,Bed Net Distribution,2021-08-02
848,3121,87.02,Indoor Residual Spraying,2022-02-12
849,2351,90.33,Environmental Management,2020-01-28
850,142,57.36,Indoor Residual Spraying,2021-04-27
851,273,54.22,Bed Net Distribution,2023-09-08
852,1432,57.25,Environmental Management,2017-11-01
853,4726,59.73,Bed Net Distribution,2018-10-09
854,1162,78.87,Larvicide Application,2020-07-10
855,3714,54.91,Bed Net Distribution,2019-04-01
856,2182,46.03,Bed Net Distribution,2017-02-20
857,3139,40.01,Environmental Management,2016-02-28
858,3597,89.92,Larvicide Application,2020-09-10
859,850,60.78,Bed Net Distribution,2015-07-14
860,3931,51.97,Larvicide Application,2017-02-03
861,4537,77.39,Environmental Management,2020-08-23
862,4607,78.11,Indoor Residual Spraying,2020-05-08
863,2343,53.83,Larvicide Application,2017-06-19
864,3343,63.2,Indoor Residual Spraying,2020-06-03
865,3280,59.98,Larvicide Application,2018-01-06
866,1797,63.32,Environmental Management,2015-03-04
867,696,89.81,Larvicide Application,2017-06-11
868,1949,82.96,Bed Net Distribution,2019-07-19
869,264,69.21,Environmental Management,2021-12-04
870,453,53.07,Bed Net Distribution,2016-05-22
871,1790,90.46,Indoor Residual Spraying,2021-04-15
872,2911,72.0,Environmental Management,2023-04-08
873,3043,61.17,Indoor Residual Spraying,2018-05-16
874,2571,46.58,Bed Net Distribution,2022-04-10
875,3677,54.88,Environmental Management,2023-10-05
876,384,46.25,Indoor Residual Spraying,2018-05-14
877,2017,54.2,Larvicide Application,2017-04-24
878,730,44.68,Indoor Residual Spraying,2015-04-12
879,4447,48.84,Indoor Residual Spraying,2018-02-22
880,4424,79.85,Larvicide Application,2015-02-05
881,2747,52.53,Environmental Management,2023-03-29
882,494,86.27,Environmental Management,2021-01-26
883,2204,62.74,Larvicide Application,2023-12-29
884,112,84.09,Indoor Residual Spraying,2023-09-27
885,2052,53.03,Larvicide Application,2019-02-09
886,1646,83.37,Larvicide Application,2021-11-02
887,1175,49.23,Environmental Management,2021-01-05
888,578,67.65,Larvicide Application,2023-10-08
889,1790,70.3,Environmental Management,2015-03-16
890,3146,52.07,Bed Net Distribution,2023-10-01
891,4702,81.81,Environmental Management,2018-09-27
892,808,71.59,Indoor Residual Spraying,2016-11-10
893,4010,61.99,Environmental Management,2017-05-23
894,3397,92.8,Environmental Management,2019-04-07
895,4876,71.05,Larvicide Application,2023-01-15
896,2623,55.39,Indoor Residual Spraying,2016-09-22
897,2989,91.67,Environmental Management,2020-03-13
898,4487,67.51,Larvicide Application,2015-05-17
899,527,55.57,Larvicide Application,2022-08-19
900,2956,93.28,Larvicide Application,2017-10-17
901,4842,40.16,Environmental Management,2015-04-27
902,856,56.32,Indoor Residual Spraying,2018-01-05
903,745,42.21,Environmental Management,2018-08-15
904,3063,42.7,Larvicide Application,2020-06-15
905,4787,73.12,Environmental Management,2023-02-12
906,3423,91.77,Environmental Management,2015-07-12
907,3450,80.04,Larvicide Application,2021-04-27
908,3759,81.49,Bed Net Distribution,2015-06-03
909,4854,49.37,Indoor Residual Spraying,2022-09-26
910,900,47.09,Larvicide Application,2016-01-06
911,3294,63.12,Bed Net Distribution,2017-12-15
912,1767,65.41,Environmental Management,2021-07-07
913,3026,55.92,Bed Net Distribution,2021-02-20
914,982,92.93,Bed Net Distribution,2017-09-22
915,882,54.86,Bed Net Distribution,2023-04-28
916,1220,53.93,Bed Net Distribution,2018-04-04
917,882,43.69,Bed Net Distribution,2022-05-29
918,2078,82.58,Indoor Residual Spraying,2018-06-16
919,495,51.39,Environmental Management,2020-05-13
920,1308,54.48,Bed Net Distribution,2015-12-29
921,3510,68.5,Larvicide Application,2017-08-01
922,302,81.92,Environmental Management,2018-12-25
923,4314,75.2,Indoor Residual Spraying,2022-01-21
924,1141,79.91,Environmental Management,2020-12-02
925,4375,44.43,Environmental Management,2019-06-27
926,4826,92.07,Environmental Management,2018-12-20
927,3484,60.23,Indoor Residual Spraying,2023-04-20
928,2327,89.52,Indoor Residual Spraying,2021-07-10
929,1346,72.2,Indoor Residual Spraying,2016-12-04
930,2290,83.81,Bed Net Distribution,2019-10-20
931,486,74.01,Indoor Residual Spraying,2021-11-22
932,338,56.48,Indoor Residual Spraying,2017-07-08
933,4936,46.54,Environmental Management,2016-01-21
934,3047,75.22,Bed Net Distribution,2017-10-04
935,4047,67.57,Indoor Residual Spraying,2015-05-09
936,2450,75.47,Bed Net Distribution,2020-02-17
937,3224,69.59,Bed Net Distribution,2019-03-26
938,3908,58.45,Indoor Residual Spraying,2022-04-08
939,463,84.64,Larvicide Application,2019-04-22
940,3436,71.5,Bed Net Distribution,2015-06-02
941,1414,42.63,Larvicide Application,2015-06-24
942,2740,82.09,Larvicide Application,2020-04-03
943,1794,55.25,Larvicide Application,2019-10-26
944,1511,49.35,Bed Net Distribution,2022-04-16
945,4202,67.41,Environmental Management,2022-05-30
946,886,43.36,Larvicide Application,2016-04-15
947,551,49.55,Larvicide Application,2023-04-01
948,1049,86.23,Indoor Residual Spraying,2015-09-01
949,4690,73.74,Bed Net Distribution,2020-07-24
950,3884,54.27,Larvicide Application,2015-03-06
951,2360,52.47,Environmental Management,2021-04-21
952,2689,43.73,Indoor Residual Spraying,2015-05-08
953,1350,67.0,Indoor Residual Spraying,2020-10-18
954,1742,71.15,Environmental Management,2019-11-25
955,448,54.91,Bed Net Distribution,2016-06-06
956,1845,60.33,Bed Net Distribution,2021-07-26
957,3631,47.14,Indoor Residual Spraying,2017-12-24
958,2543,46.23,Bed Net Distribution,2023-12-30
959,1096,85.18,Indoor Residual Spraying,2020-01-05
960,1264,49.84,Bed Net Distribution,2022-03-30
961,4697,74.07,Bed Net Distribution,2017-08-03
962,1816,56.87,Environmental Management,2017-11-16
963,1430,78.45,Bed Net Distribution,2020-08-10
964,2998,66.14,Environmental Management,2015-10-14
965,4467,68.91,Larvicide Application,2018-07-14
966,1707,78.16,Bed Net Distribution,2019-03-30
967,2759,43.16,Indoor Residual Spraying,2021-01-14
968,4444,46.14,Bed Net Distribution,2015-10-05
969,1971,94.63,Indoor Residual Spraying,2015-10-22
970,3907,54.7,Environmental Management,2020-09-02
971,4874,55.11,Larvicide Application,2017-02-26
972,2687,69.36,Indoor Residual Spraying,2016-08-08
973,2189,80.7,Bed Net Distribution,2022-07-05
974,661,65.14,Bed Net Distribution,2020-05-29
975,2577,49.25,Indoor Residual Spraying,2018-10-29
976,1426,80.2,Bed Net Distribution,2017-10-30
977,1881,73.9,Environmental Management,2017-11-09
978,4057,47.15,Larvicide Application,2019-02-25
979,946,46.9,Indoor Residual Spraying,2021-07-05
980,2214,65.65,Indoor Residual Spraying,2021-07-03
981,3743,74.05,Environmental Management,2018-12-26
982,2731,58.36,Larvicide Application,2019-12-08
983,2402,84.42,Bed Net Distribution,2015-10-04
984,726,67.73,Indoor Residual Spraying,2022-09-09
985,748,66.69,Environmental Management,2018-04-29
986,3600,63.2,Bed Net Distribution,2021-10-25
987,2509,94.76,Bed Net Distribution,2021-05-19
988,669,57.14,Larvicide Application,2015-02-24
989,2537,71.18,Indoor Residual Spraying,2016-12-20
990,4152,88.31,Bed Net Distribution,2017-10-31
991,579,94.56,Larvicide Application,2016-11-16
992,3986,58.16,Environmental Management,2019-11-02
993,4457,54.35,Larvicide Application,2023-03-20
994,3274,90.59,Indoor Residual Spraying,2020-02-12
995,1402,62.62,Indoor Residual Spraying,2019-10-14
996,2772,83.1,Environmental Management,2017-12-17
997,3138,69.8,Indoor Residual Spraying,2023-01-27
998,458,78.36,Environmental Management,2019-07-16
999,1619,51.44,Larvicide Application,2019-04-13
1000,165,88.32,Environmental Management,2017-12-05
1001,4840,85.97,Larvicide Application,2017-04-30
1002,3635,71.37,Bed Net Distribution,2020-05-19
1003,1632,56.19,Indoor Residual Spraying,2021-12-15
1004,1462,63.02,Larvicide Application,2016-04-23
1005,1546,55.05,Bed Net Distribution,2015-07-27
1006,1137,44.77,Indoor Residual Spraying,2019-06-10
1007,1580,75.94,Bed Net Distribution,2018-11-13
1008,881,70.08,Bed Net Distribution,2017-09-11
1009,3628,57.82,Environmental Management,2016-01-17
1010,1365,93.41,Environmental Management,2023-03-22
1011,2043,92.32,Larvicide Application,2016-09-13
1012,1539,75.8,Larvicide Application,2019-05-23
1013,2305,75.28,Bed Net Distribution,2019-01-17
1014,1553,55.15,Bed Net Distribution,2022-09-19
1015,3908,82.73,Indoor Residual Spraying,2016-12-17
1016,4646,91.17,Bed Net Distribution,2019-01-27
1017,653,61.53,Environmental Management,2016-12-16
1018,796,61.24,Larvicide Application,2016-04-06
1019,2507,69.78,Environmental Management,2017-04-24
1020,1222,63.17,Larvicide Application,2020-06-09
1021,1322,69.05,Indoor Residual Spraying,2020-10-18
1022,1527,67.17,Environmental Management,2016-02-11
1023,2552,48.75,Environmental Management,2018-10-15
1024,1360,49.24,Larvicide Application,2021-11-06
1025,1427,91.93,Indoor Residual Spraying,2023-06-22
1026,1875,42.19,Environmental Management,2017-09-20
1027,4467,66.24,Bed Net Distribution,2019-07-04
1028,771,90.83,Environmental Management,2015-11-14
1029,3612,66.39,Environmental Management,2018-04-14
1030,2428,92.56,Larvicide Application,2021-03-06
1031,905,66.27,Bed Net Distribution,2021-04-30
1032,1147,71.65,Environmental Management,2017-12-30
1033,3142,41.87,Indoor Residual Spraying,2019-02-28
1034,3744,94.7,Larvicide Application,2023-11-30
1035,3523,91.04,Environmental Management,2022-11-26
1036,3067,71.98,Bed Net Distribution,2019-10-04
1037,209,43.31,Indoor Residual Spraying,2020-12-30
1038,225,57.23,Environmental Management,2015-09-29
1039,1689,84.11,Indoor Residual Spraying,2019-01-28
1040,3834,93.32,Larvicide Application,2019-04-28
1041,292,73.1,Larvicide Application,2018-08-09
1042,4128,77.99,Larvicide Application,2022-01-24
1043,306,64.85,Environmental Management,2023-04-23
1044,3167,63.77,Environmental Management,2016-04-23
1045,3209,40.24,Bed Net Distribution,2018-11-11
1046,3078,56.04,Larvicide Application,2015-11-22
1047,2723,48.66,Indoor Residual Spraying,2017-06-03
1048,1200,46.6,Larvicide Application,2020-01-30
1049,4407,53.65,Indoor Residual Spraying,2019-09-11
1050,2770,67.26,Bed Net Distribution,2023-03-18
1051,2806,48.47,Indoor Residual Spraying,2018-10-21
1052,504,48.27,Larvicide Application,2016-12-19
1053,4086,86.81,Indoor Residual Spraying,2021-06-18
1054,2447,90.57,Environmental Management,2018-03-03
1055,3360,40.7,Larvicide Application,2021-10-27
1056,1729,47.62,Indoor Residual Spraying,2016-10-01
1057,1057,82.72,Environmental Management,2022-10-29
1058,695,76.62,Environmental Management,2021-05-28
1059,4880,52.47,Bed Net Distribution,2023-05-26
1060,3675,57.6,Larvicide Application,2020-08-23
1061,4445,52.65,Bed Net Distribution,2023-05-12
1062,1475,59.71,Larvicide Application,2019-06-10
1063,4387,47.41,Environmental Management,2016-12-29
1064,3370,71.35,Larvicide Application,2021-10-18
1065,305,73.93,Indoor Residual Spraying,2022-06-05
1066,1833,83.96,Environmental Management,2020-08-14
1067,2387,76.03,Larvicide Application,2017-11-08
1068,878,94.05,Bed Net Distribution,2022-09-26
1069,3835,90.34,Indoor Residual Spraying,2021-02-02
1070,4032,50.31,Environmental Management,2015-06-14
1071,1326,88.94,Bed Net Distribution,2023-04-07
1072,2217,88.18,Bed Net Distribution,2019-04-09
1073,1427,72.56,Larvicide Application,2015-09-05
1074,4065,60.67,Environmental Management,2017-07-26
1075,3151,69.71,Bed Net Distribution,2021-11-15
1076,3137,73.82,Indoor Residual Spraying,2021-07-16
1077,134,73.47,Environmental Management,2018-03-30
1078,2078,78.11,Environmental Management,2022-05-07
1079,4992,58.85,Indoor Residual Spraying,2017-09-28
1080,143,68.61,Indoor Residual Spraying,2023-10-21
1081,2303,67.45,Bed Net Distribution,2015-05-20
1082,2988,75.28,Larvicide Application,2015-08-26
1083,1426,81.17,Bed Net Distribution,2018-06-29
1084,4831,70.83,Indoor Residual Spraying,2016-12-10
1085,499,91.52,Bed Net Distribution,2022-08-16
1086,1710,90.72,Indoor Residual Spraying,2023-10-09
1087,3324,91.37,Bed Net Distribution,2015-03-01
1088,2263,94.72,Bed Net Distribution,2022-08-27
1089,4440,89.15,Bed Net Distribution,2019-09-26
1090,4297,87.3,Bed Net Distribution,2017-01-03
1091,2975,93.56,Larvicide Application,2016-11-02
1092,3928,81.78,Indoor Residual Spraying,2023-08-31
1093,3088,56.09,Bed Net Distribution,2022-06-28
1094,3107,56.73,Bed Net Distribution,2016-06-16
1095,977,74.24,Indoor Residual Spraying,2020-01-20
1096,880,78.35,Larvicide Application,2023-01-24
1097,2119,86.75,Bed Net Distribution,2015-03-12
1098,4081,58.23,Environmental Management,2015-10-30
1099,2684,64.84,Environmental Management,2016-08-07
1100,3582,45.69,Bed Net Distribution,2023-03-25
1101,562,91.03,Bed Net Distribution,2022-01-29
1102,1630,45.6,Environmental Management,2020-09-20
1103,2245,88.93,Larvicide Application,2016-12-10
1104,2951,44.47,Environmental Management,2022-12-28
1105,1624,85.21,Indoor Residual Spraying,2016-06-23
1106,3601,86.13,Indoor Residual Spraying,2020-01-21
