Demographic_key,Age_group,Socio_economic_status,Vaccination_rate,Housing_type
589,Adults (15-64),High Income,80.61,Urban
590,Adults (15-64),High Income,67.03,Semi-urban
591,Adults (15-64),Low Income,93.95,Semi-urban
592,Children (0-14),Middle Income,55.48,Semi-urban
593,Adults (15-64),Middle Income,49.64,Semi-urban
594,Elderly (65+),Low Income,88.62,Semi-urban
595,Children (0-14),Low Income,79.85,Urban
596,Children (0-14),High Income,80.44,Urban
597,Adults (15-64),Middle Income,89.0,Urban
598,Children (0-14),Middle Income,49.86,Rural
599,Elderly (65+),Low Income,74.97,Rural
600,Elderly (65+),Low Income,71.6,Urban
601,Children (0-14),Low Income,40.87,Semi-urban
602,Adults (15-64),Middle Income,81.83,Rural
603,Elderly (65+),Low Income,51.72,Rural
604,Adults (15-64),Low Income,72.14,Urban
605,Children (0-14),Low Income,63.11,Semi-urban
606,Adults (15-64),Low Income,87.84,Rural
607,Adults (15-64),Low Income,91.96,Semi-urban
608,Children (0-14),High Income,40.51,Urban
609,Children (0-14),Low Income,77.9,Urban
610,Adults (15-64),Low Income,73.24,Urban
611,Elderly (65+),Low Income,81.89,Urban
612,Adults (15-64),Low Income,67.72,Urban
613,Adults (15-64),Low Income,60.0,Semi-urban
614,Children (0-14),Middle Income,87.72,Urban
615,Adults (15-64),High Income,63.12,Semi-urban
616,Children (0-14),High Income,45.51,Rural
617,Elderly (65+),High Income,62.22,Rural
618,Children (0-14),High Income,51.1,Semi-urban
619,Adults (15-64),Low Income,56.94,Urban
620,Children (0-14),High Income,85.97,Semi-urban
621,Children (0-14),High Income,47.63,Rural
622,Adults (15-64),Low Income,64.99,Rural
623,Children (0-14),Middle Income,67.94,Semi-urban
624,Elderly (65+),Low Income,49.21,Semi-urban
625,Elderly (65+),Middle Income,86.13,Rural
626,Children (0-14),Middle Income,65.47,Semi-urban
627,Children (0-14),Middle Income,56.27,Rural
628,Adults (15-64),Low Income,53.3,Urban
629,Adults (15-64),High Income,82.17,Rural
630,Children (0-14),Middle Income,85.48,Semi-urban
631,Elderly (65+),Low Income,90.08,Semi-urban
632,Children (0-14),Low Income,78.46,Semi-urban
633,Adults (15-64),High Income,78.02,Semi-urban
634,Adults (15-64),High Income,71.72,Semi-urban
635,Children (0-14),Middle Income,44.9,Rural
636,Elderly (65+),High Income,46.6,Urban
637,Elderly (65+),Low Income,40.63,Urban
638,Elderly (65+),High Income,64.19,Urban
639,Children (0-14),High Income,68.1,Rural
640,Children (0-14),High Income,50.52,Urban
641,Adults (15-64),Low Income,89.75,Rural
642,Elderly (65+),High Income,80.71,Urban
643,Adults (15-64),High Income,57.73,Semi-urban
644,Children (0-14),Low Income,75.86,Urban
645,Children (0-14),Low Income,63.35,Urban
646,Children (0-14),Low Income,57.66,Urban
647,Adults (15-64),High Income,72.22,Urban
648,Adults (15-64),High Income,52.48,Urban
649,Adults (15-64),High Income,66.71,Rural
650,Elderly (65+),Low Income,55.55,Semi-urban
651,Children (0-14),Low Income,52.48,Semi-urban
652,Children (0-14),High Income,58.72,Semi-urban
653,Elderly (65+),Middle Income,66.25,Urban
654,Adults (15-64),Low Income,74.06,Urban
655,Elderly (65+),Low Income,90.04,Urban
656,Children (0-14),Low Income,47.51,Semi-urban
657,Children (0-14),High Income,83.18,Rural
658,Children (0-14),High Income,67.28,Rural
659,Adults (15-64),Middle Income,87.61,Semi-urban
660,Children (0-14),High Income,41.97,Urban
661,Elderly (65+),High Income,56.42,Rural
662,Adults (15-64),Middle Income,74.11,Semi-urban
663,Children (0-14),High Income,90.95,Rural
664,Adults (15-64),High Income,93.7,Rural
665,Children (0-14),Middle Income,80.06,Semi-urban
666,Children (0-14),Low Income,50.89,Semi-urban
667,Children (0-14),High Income,89.05,Rural
668,Adults (15-64),High Income,48.46,Rural
669,Elderly (65+),Middle Income,67.64,Semi-urban
670,Elderly (65+),Low Income,84.17,Urban
671,Elderly (65+),Low Income,86.91,Rural
672,Elderly (65+),High Income,65.46,Urban
673,Children (0-14),High Income,67.53,Rural
674,Adults (15-64),Low Income,76.62,Urban
675,Adults (15-64),Low Income,78.07,Rural
676,Elderly (65+),High Income,89.63,Urban
677,Elderly (65+),High Income,65.03,Urban
678,Adults (15-64),High Income,45.36,Semi-urban
679,Elderly (65+),Low Income,67.61,Rural
680,Elderly (65+),Low Income,62.59,Semi-urban
681,Children (0-14),High Income,76.87,Rural
682,Adults (15-64),High Income,73.25,Urban
683,Adults (15-64),Low Income,76.68,Rural
684,Adults (15-64),Middle Income,87.64,Urban
685,Adults (15-64),Low Income,49.41,Rural
686,Adults (15-64),Low Income,76.13,Rural
687,Children (0-14),High Income,48.98,Rural
688,Children (0-14),Middle Income,40.2,Urban
689,Adults (15-64),Middle Income,58.86,Rural
690,Elderly (65+),High Income,73.59,Rural
691,Children (0-14),Low Income,42.01,Semi-urban
692,Children (0-14),Low Income,84.43,Rural
693,Children (0-14),High Income,54.57,Urban
694,Adults (15-64),Low Income,49.39,Rural
695,Adults (15-64),Middle Income,91.51,Semi-urban
696,Elderly (65+),High Income,44.34,Rural
697,Elderly (65+),High Income,43.6,Rural
698,Children (0-14),Middle Income,82.77,Rural
699,Children (0-14),Low Income,57.79,Semi-urban
700,Elderly (65+),High Income,74.4,Semi-urban
701,Elderly (65+),Low Income,69.92,Rural
702,Adults (15-64),Middle Income,69.84,Rural
703,Children (0-14),Middle Income,56.43,Urban
704,Children (0-14),High Income,77.64,Rural
705,Children (0-14),Middle Income,55.28,Urban
706,Adults (15-64),Middle Income,73.64,Rural
707,Children (0-14),High Income,66.87,Rural
708,Adults (15-64),Low Income,74.37,Semi-urban
709,Adults (15-64),Middle Income,81.39,Urban
710,Elderly (65+),Middle Income,46.45,Rural
711,Adults (15-64),Middle Income,44.03,Urban
712,Children (0-14),High Income,64.7,Rural
713,Adults (15-64),High Income,48.23,Semi-urban
714,Children (0-14),Middle Income,74.31,Semi-urban
715,Elderly (65+),Middle Income,50.72,Semi-urban
716,Elderly (65+),High Income,89.0,Urban
717,Adults (15-64),Middle Income,60.49,Semi-urban
718,Elderly (65+),High Income,86.1,Urban
719,Elderly (65+),Middle Income,44.26,Rural
720,Children (0-14),High Income,67.39,Urban
721,Elderly (65+),Middle Income,61.33,Rural
722,Adults (15-64),Low Income,46.59,Rural
723,Elderly (65+),High Income,93.46,Semi-urban
724,Adults (15-64),Middle Income,92.74,Rural
725,Children (0-14),Middle Income,51.04,Rural
726,Children (0-14),Middle Income,43.55,Semi-urban
727,Adults (15-64),Low Income,67.19,Rural
728,Children (0-14),High Income,83.47,Rural
729,Elderly (65+),Middle Income,81.69,Semi-urban
730,Adults (15-64),Low Income,42.16,Rural
731,Elderly (65+),Middle Income,51.7,Rural
732,Children (0-14),Low Income,66.12,Semi-urban
733,Children (0-14),Low Income,56.55,Rural
734,Elderly (65+),High Income,54.8,Urban
735,Children (0-14),Middle Income,76.39,Rural
736,Children (0-14),Middle Income,87.45,Urban
737,Children (0-14),Low Income,73.73,Urban
738,Adults (15-64),Middle Income,70.64,Urban
739,Adults (15-64),Low Income,84.8,Semi-urban
740,Elderly (65+),Middle Income,87.41,Urban
741,Adults (15-64),Low Income,49.28,Urban
742,Children (0-14),Low Income,94.96,Urban
743,Children (0-14),Low Income,91.32,Rural
744,Elderly (65+),Middle Income,89.54,Rural
745,Adults (15-64),Low Income,69.39,Rural
746,Adults (15-64),High Income,52.71,Rural
747,Children (0-14),High Income,42.4,Rural
748,Elderly (65+),Low Income,81.06,Rural
749,Adults (15-64),Middle Income,93.32,Urban
750,Adults (15-64),Middle Income,87.0,Urban
751,Children (0-14),High Income,48.64,Urban
752,Elderly (65+),Low Income,77.4,Rural
753,Elderly (65+),Low Income,92.72,Rural
754,Adults (15-64),Low Income,82.94,Semi-urban
755,Elderly (65+),High Income,59.55,Urban
756,Adults (15-64),High Income,66.1,Rural
757,Children (0-14),High Income,47.12,Semi-urban
758,Elderly (65+),High Income,51.61,Rural
759,Adults (15-64),Low Income,69.46,Urban
760,Adults (15-64),High Income,94.91,Rural
761,Elderly (65+),Middle Income,43.98,Urban
762,Elderly (65+),Low Income,45.43,Urban
763,Children (0-14),Low Income,40.26,Semi-urban
764,Elderly (65+),Low Income,45.89,Semi-urban
765,Adults (15-64),High Income,55.64,Rural
766,Adults (15-64),Low Income,69.41,Urban
767,Elderly (65+),Middle Income,86.79,Urban
768,Children (0-14),Low Income,79.54,Semi-urban
769,Adults (15-64),Middle Income,43.68,Urban
770,Children (0-14),High Income,50.25,Urban
771,Children (0-14),High Income,46.6,Urban
772,Adults (15-64),Low Income,82.69,Semi-urban
773,Children (0-14),Middle Income,50.41,Rural
774,Children (0-14),Middle Income,60.68,Semi-urban
775,Elderly (65+),High Income,76.73,Semi-urban
776,Children (0-14),Middle Income,44.86,Semi-urban
777,Adults (15-64),Low Income,71.56,Rural
778,Elderly (65+),High Income,82.33,Semi-urban
779,Elderly (65+),High Income,53.68,Rural
780,Adults (15-64),Middle Income,53.54,Urban
781,Children (0-14),Low Income,89.08,Rural
782,Adults (15-64),High Income,93.09,Rural
783,Children (0-14),Low Income,83.67,Rural
784,Elderly (65+),High Income,87.69,Urban
785,Adults (15-64),Middle Income,52.24,Semi-urban
786,Elderly (65+),Low Income,61.07,Urban
787,Elderly (65+),Middle Income,91.56,Urban
788,Elderly (65+),High Income,90.03,Rural
789,Children (0-14),Low Income,41.69,Rural
790,Elderly (65+),Middle Income,46.19,Semi-urban
791,Children (0-14),Middle Income,87.41,Rural
792,Children (0-14),High Income,54.13,Rural
793,Elderly (65+),High Income,47.1,Rural
794,Children (0-14),High Income,66.09,Semi-urban
795,Children (0-14),Low Income,52.89,Semi-urban
796,Adults (15-64),High Income,85.99,Rural
797,Adults (15-64),Middle Income,61.66,Urban
798,Elderly (65+),High Income,40.28,Semi-urban
799,Elderly (65+),Middle Income,87.83,Rural
800,Elderly (65+),Middle Income,79.25,Urban
801,Adults (15-64),Low Income,79.34,Urban
802,Elderly (65+),Middle Income,55.14,Semi-urban
803,Children (0-14),High Income,54.75,Urban
804,Elderly (65+),Middle Income,89.38,Semi-urban
805,Adults (15-64),High Income,43.95,Semi-urban
806,Elderly (65+),High Income,93.54,Rural
807,Adults (15-64),High Income,78.98,Urban
808,Elderly (65+),High Income,76.59,Urban
809,Adults (15-64),Middle Income,53.0,Urban
810,Elderly (65+),Middle Income,78.94,Semi-urban
811,Children (0-14),Middle Income,46.78,Urban
812,Elderly (65+),Low Income,44.73,Urban
813,Elderly (65+),High Income,83.48,Urban
814,Adults (15-64),Middle Income,64.81,Urban
815,Children (0-14),Low Income,61.27,Semi-urban
816,Adults (15-64),Low Income,56.58,Semi-urban
817,Children (0-14),Low Income,53.96,Urban
818,Adults (15-64),Low Income,67.98,Rural
819,Elderly (65+),Low Income,52.92,Urban
820,Adults (15-64),Low Income,40.46,Rural
821,Adults (15-64),Low Income,48.49,Semi-urban
822,Adults (15-64),Middle Income,94.88,Semi-urban
823,Elderly (65+),High Income,70.03,Urban
824,Adults (15-64),Middle Income,63.56,Semi-urban
825,Children (0-14),High Income,86.78,Semi-urban
826,Elderly (65+),Low Income,76.75,Semi-urban
827,Elderly (65+),Low Income,72.09,Rural
828,Adults (15-64),Low Income,81.59,Rural
829,Adults (15-64),High Income,74.32,Rural
830,Elderly (65+),Low Income,58.82,Urban
831,Children (0-14),High Income,51.52,Urban
832,Children (0-14),Low Income,56.8,Urban
833,Children (0-14),Middle Income,46.49,Semi-urban
834,Adults (15-64),High Income,63.11,Semi-urban
835,Elderly (65+),High Income,79.62,Semi-urban
836,Children (0-14),High Income,86.45,Urban
837,Adults (15-64),Middle Income,94.81,Rural
838,Elderly (65+),Middle Income,59.15,Semi-urban
839,Children (0-14),Low Income,68.06,Rural
840,Children (0-14),Low Income,63.71,Urban
841,Children (0-14),Middle Income,80.1,Semi-urban
842,Elderly (65+),Low Income,57.42,Urban
843,Elderly (65+),Low Income,74.51,Urban
844,Children (0-14),Low Income,42.24,Urban
845,Elderly (65+),Middle Income,75.97,Semi-urban
846,Children (0-14),High Income,58.58,Semi-urban
847,Adults (15-64),High Income,89.15,Urban
848,Adults (15-64),Low Income,74.76,Semi-urban
849,Children (0-14),High Income,94.92,Rural
850,Elderly (65+),Middle Income,60.04,Urban
851,Children (0-14),Middle Income,52.81,Rural
852,Adults (15-64),High Income,40.55,Urban
853,Adults (15-64),High Income,67.26,Semi-urban
854,Children (0-14),High Income,67.38,Semi-urban
855,Adults (15-64),Middle Income,58.22,Rural
856,Elderly (65+),High Income,92.14,Semi-urban
857,Adults (15-64),Middle Income,55.36,Urban
858,Adults (15-64),Low Income,51.64,Semi-urban
859,Adults (15-64),Middle Income,70.43,Urban
860,Children (0-14),Low Income,57.25,Urban
861,Children (0-14),Low Income,55.75,Urban
862,Children (0-14),Low Income,68.72,Semi-urban
863,Children (0-14),High Income,59.33,Semi-urban
864,Children (0-14),Low Income,73.52,Urban
865,Children (0-14),Low Income,83.45,Semi-urban
866,Adults (15-64),High Income,44.56,Urban
867,Children (0-14),Middle Income,61.88,Semi-urban
868,Elderly (65+),High Income,74.97,Rural
869,Elderly (65+),Low Income,84.35,Semi-urban
870,Elderly (65+),Low Income,84.8,Urban
871,Elderly (65+),Middle Income,80.78,Semi-urban
872,Elderly (65+),Middle Income,91.65,Rural
873,Adults (15-64),Low Income,92.06,Rural
874,Adults (15-64),Low Income,74.36,Urban
875,Children (0-14),Middle Income,93.05,Semi-urban
876,Adults (15-64),Low Income,64.79,Semi-urban
877,Children (0-14),High Income,51.16,Semi-urban
878,Elderly (65+),Middle Income,58.46,Rural
879,Children (0-14),Low Income,85.37,Rural
880,Children (0-14),High Income,70.63,Semi-urban
881,Adults (15-64),High Income,54.84,Semi-urban
882,Adults (15-64),Low Income,42.5,Urban
883,Elderly (65+),Low Income,93.84,Semi-urban
884,Elderly (65+),High Income,83.25,Urban
885,Adults (15-64),High Income,81.13,Semi-urban
886,Elderly (65+),Low Income,67.36,Rural
887,Children (0-14),Middle Income,72.15,Urban
888,Elderly (65+),Low Income,89.67,Rural
889,Elderly (65+),Middle Income,84.42,Urban
890,Children (0-14),Middle Income,81.0,Rural
891,Children (0-14),Middle Income,49.05,Rural
892,Elderly (65+),Middle Income,60.29,Rural
893,Children (0-14),Low Income,40.66,Urban
894,Elderly (65+),Middle Income,56.52,Rural
895,Adults (15-64),Middle Income,87.26,Rural
896,Adults (15-64),High Income,75.64,Rural
897,Elderly (65+),Low Income,94.88,Semi-urban
898,Children (0-14),Middle Income,67.58,Rural
899,Adults (15-64),High Income,58.15,Semi-urban
900,Adults (15-64),Low Income,52.46,Rural
901,Elderly (65+),Low Income,53.78,Semi-urban
902,Elderly (65+),High Income,87.57,Urban
903,Elderly (65+),Middle Income,50.18,Rural
904,Adults (15-64),Low Income,69.74,Rural
905,Elderly (65+),Middle Income,48.89,Urban
906,Children (0-14),High Income,49.27,Urban
907,Elderly (65+),High Income,71.17,Urban
908,Adults (15-64),Middle Income,54.17,Urban
909,Adults (15-64),High Income,77.61,Semi-urban
910,Elderly (65+),High Income,89.01,Rural
911,Elderly (65+),Low Income,68.2,Rural
912,Children (0-14),Low Income,73.86,Rural
913,Elderly (65+),Middle Income,52.96,Urban
914,Elderly (65+),Low Income,69.46,Rural
915,Adults (15-64),Middle Income,47.88,Rural
916,Children (0-14),High Income,70.46,Semi-urban
917,Elderly (65+),Middle Income,82.97,Semi-urban
918,Elderly (65+),Middle Income,74.1,Semi-urban
919,Adults (15-64),Middle Income,40.93,Urban
920,Elderly (65+),Low Income,69.54,Semi-urban
921,Adults (15-64),Middle Income,63.33,Semi-urban
922,Elderly (65+),Middle Income,42.32,Rural
923,Adults (15-64),High Income,67.55,Urban
924,Adults (15-64),High Income,75.29,Rural
925,Adults (15-64),Low Income,62.74,Semi-urban
926,Adults (15-64),Low Income,54.24,Rural
927,Adults (15-64),Low Income,51.86,Semi-urban
928,Adults (15-64),Low Income,70.9,Urban
929,Adults (15-64),High Income,93.68,Urban
930,Elderly (65+),Middle Income,46.05,Rural
931,Children (0-14),Low Income,83.28,Semi-urban
932,Children (0-14),Low Income,74.01,Urban
933,Adults (15-64),Middle Income,57.33,Urban
934,Children (0-14),Low Income,49.33,Rural
935,Elderly (65+),High Income,53.2,Semi-urban
936,Adults (15-64),Middle Income,58.37,Rural
937,Children (0-14),Low Income,93.26,Semi-urban
938,Children (0-14),Low Income,70.67,Semi-urban
939,Adults (15-64),High Income,91.76,Rural
940,Children (0-14),Middle Income,91.93,Semi-urban
941,Elderly (65+),High Income,48.27,Urban
942,Adults (15-64),Middle Income,68.73,Semi-urban
943,Adults (15-64),Low Income,80.32,Semi-urban
944,Adults (15-64),Low Income,48.16,Urban
945,Elderly (65+),Middle Income,87.99,Semi-urban
946,Elderly (65+),High Income,57.43,Semi-urban
947,Children (0-14),Low Income,53.85,Semi-urban
948,Adults (15-64),Low Income,61.12,Rural
949,Children (0-14),High Income,76.41,Urban
950,Children (0-14),Low Income,53.74,Rural
951,Adults (15-64),Low Income,40.33,Urban
952,Adults (15-64),Middle Income,76.24,Urban
953,Children (0-14),Low Income,47.58,Semi-urban
954,Elderly (65+),Middle Income,69.62,Semi-urban
955,Elderly (65+),High Income,60.49,Urban
956,Children (0-14),Low Income,79.48,Rural
957,Elderly (65+),High Income,66.76,Rural
958,Children (0-14),Middle Income,77.49,Rural
959,Children (0-14),High Income,65.26,Urban
960,Adults (15-64),Low Income,84.03,Semi-urban
961,Adults (15-64),Middle Income,40.73,Semi-urban
962,Adults (15-64),Low Income,78.74,Semi-urban
963,Children (0-14),High Income,82.32,Rural
964,Children (0-14),Middle Income,48.82,Urban
965,Elderly (65+),Low Income,69.16,Urban
966,Elderly (65+),Low Income,41.73,Urban
967,Elderly (65+),High Income,47.27,Rural
968,Adults (15-64),Middle Income,50.44,Semi-urban
969,Children (0-14),Middle Income,69.83,Urban
970,Elderly (65+),Middle Income,68.66,Urban
971,Children (0-14),Middle Income,74.97,Semi-urban
972,Elderly (65+),Middle Income,87.35,Semi-urban
973,Children (0-14),High Income,52.82,Rural
974,Children (0-14),Low Income,83.76,Semi-urban
975,Children (0-14),High Income,79.06,Urban
976,Children (0-14),Middle Income,41.9,Rural
977,Children (0-14),High Income,40.47,Rural
978,Children (0-14),High Income,49.29,Urban
979,Adults (15-64),High Income,71.68,Urban
980,Children (0-14),Middle Income,91.06,Semi-urban
981,Adults (15-64),Low Income,87.09,Urban
982,Children (0-14),High Income,52.26,Urban
983,Adults (15-64),Low Income,62.08,Rural
984,Children (0-14),Low Income,74.46,Semi-urban
985,Elderly (65+),Low Income,94.73,Urban
986,Adults (15-64),Low Income,64.32,Rural
987,Adults (15-64),Middle Income,50.64,Semi-urban
988,Adults (15-64),High Income,90.96,Semi-urban
989,Elderly (65+),Middle Income,51.5,Semi-urban
990,Elderly (65+),Middle Income,71.25,Semi-urban
991,Adults (15-64),Low Income,50.83,Urban
992,Children (0-14),Middle Income,94.79,Rural
993,Elderly (65+),Low Income,52.85,Semi-urban
994,Children (0-14),High Income,79.95,Urban
995,Adults (15-64),Low Income,79.47,Semi-urban
996,Children (0-14),High Income,40.21,Semi-urban
997,Adults (15-64),High Income,59.11,Urban
998,Adults (15-64),High Income,79.28,Semi-urban
999,Adults (15-64),High Income,68.31,Rural
1000,Adults (15-64),High Income,58.47,Semi-urban
1001,Adults (15-64),Middle Income,47.69,Semi-urban
1002,Adults (15-64),High Income,67.83,Semi-urban
1003,Elderly (65+),Low Income,64.12,Urban
1004,Children (0-14),Middle Income,93.47,Rural
1005,Adults (15-64),High Income,88.15,Semi-urban
1006,Adults (15-64),Middle Income,67.19,Urban
1007,Children (0-14),High Income,60.03,Semi-urban
1008,Adults (15-64),Middle Income,62.08,Rural
1009,Adults (15-64),High Income,74.05,Urban
1010,Children (0-14),High Income,75.01,Urban
1011,Elderly (65+),Low Income,63.83,Rural
1012,Children (0-14),Low Income,66.61,Urban
1013,Adults (15-64),High Income,78.51,Rural
1014,Children (0-14),High Income,58.58,Semi-urban
1015,Adults (15-64),High Income,64.42,Rural
1016,Adults (15-64),High Income,60.21,Semi-urban
1017,Children (0-14),Low Income,80.01,Rural
1018,Children (0-14),High Income,68.96,Rural
1019,Adults (15-64),High Income,74.65,Semi-urban
1020,Elderly (65+),Middle Income,81.71,Semi-urban
1021,Adults (15-64),High Income,43.01,Rural
1022,Elderly (65+),High Income,81.61,Semi-urban
1023,Adults (15-64),High Income,82.27,Urban
1024,Children (0-14),Middle Income,64.44,Rural
1025,Adults (15-64),High Income,60.69,Semi-urban
1026,Children (0-14),Middle Income,59.76,Semi-urban
1027,Elderly (65+),High Income,66.05,Semi-urban
1028,Adults (15-64),High Income,63.48,Semi-urban
1029,Adults (15-64),High Income,55.56,Urban
1030,Elderly (65+),Low Income,45.38,Semi-urban
1031,Adults (15-64),High Income,40.33,Rural
1032,Adults (15-64),Low Income,70.48,Urban
1033,Children (0-14),Low Income,74.43,Semi-urban
1034,Children (0-14),Low Income,56.04,Semi-urban
1035,Adults (15-64),Low Income,85.05,Rural
1036,Adults (15-64),Middle Income,55.18,Rural
1037,Adults (15-64),Middle Income,55.81,Urban
1038,Adults (15-64),Low Income,82.33,Semi-urban
1039,Adults (15-64),High Income,48.99,Urban
1040,Children (0-14),Middle Income,49.23,Semi-urban
1041,Children (0-14),Middle Income,60.62,Semi-urban
1042,Children (0-14),Low Income,83.21,Urban
1043,Adults (15-64),High Income,51.81,Urban
1044,Elderly (65+),Low Income,64.54,Urban
1045,Elderly (65+),Middle Income,56.49,Semi-urban
1046,Elderly (65+),Middle Income,51.28,Urban
1047,Adults (15-64),High Income,63.38,Rural
1048,Children (0-14),Low Income,52.34,Urban
1049,Children (0-14),Low Income,77.87,Urban
1050,Children (0-14),Middle Income,69.5,Semi-urban
1051,Adults (15-64),Low Income,47.06,Semi-urban
1052,Adults (15-64),Low Income,55.7,Rural
1053,Children (0-14),Middle Income,42.75,Semi-urban
1054,Elderly (65+),High Income,40.27,Urban
1055,Adults (15-64),Middle Income,61.49,Semi-urban
1056,Elderly (65+),High Income,41.73,Urban
1057,Elderly (65+),High Income,83.92,Urban
1058,Adults (15-64),Low Income,59.57,Semi-urban
1059,Adults (15-64),High Income,45.45,Rural
1060,Children (0-14),Low Income,65.11,Urban
1061,Elderly (65+),Middle Income,90.62,Urban
1062,Elderly (65+),Middle Income,79.63,Semi-urban
1063,Adults (15-64),Middle Income,41.02,Urban
1064,Adults (15-64),High Income,93.17,Rural
1065,Children (0-14),Low Income,79.2,Semi-urban
1066,Adults (15-64),Low Income,45.07,Semi-urban
1067,Adults (15-64),High Income,45.61,Urban
1068,Elderly (65+),High Income,45.44,Semi-urban
1069,Children (0-14),Low Income,61.26,Semi-urban
1070,Adults (15-64),Low Income,92.07,Rural
1071,Adults (15-64),Middle Income,79.34,Rural
1072,Adults (15-64),High Income,71.36,Semi-urban
1073,Adults (15-64),Low Income,78.73,Semi-urban
1074,Children (0-14),Low Income,92.49,Urban
1075,Adults (15-64),High Income,89.42,Semi-urban
1076,Adults (15-64),Low Income,63.92,Semi-urban
1077,Elderly (65+),Low Income,78.8,Semi-urban
1078,Children (0-14),Middle Income,77.5,Urban
1079,Children (0-14),Low Income,41.49,Urban
1080,Adults (15-64),Middle Income,51.41,Rural
1081,Adults (15-64),High Income,59.8,Semi-urban
1082,Adults (15-64),High Income,45.53,Rural
1083,Adults (15-64),High Income,74.91,Urban
1084,Children (0-14),Low Income,52.28,Urban
1085,Elderly (65+),High Income,55.79,Urban
1086,Adults (15-64),Middle Income,42.13,Urban
1087,Elderly (65+),Low Income,73.23,Semi-urban
1088,Children (0-14),High Income,55.87,Urban
1089,Children (0-14),Low Income,77.24,Semi-urban
1090,Elderly (65+),High Income,53.71,Urban
1091,Adults (15-64),Low Income,91.94,Urban
1092,Elderly (65+),Low Income,70.32,Rural
1093,Children (0-14),Low Income,62.02,Rural
1094,Children (0-14),Low Income,69.03,Rural
1095,Elderly (65+),High Income,42.31,Urban
1096,Adults (15-64),Low Income,93.31,Rural
1097,Adults (15-64),Low Income,70.16,Rural
1098,Children (0-14),Middle Income,62.0,Semi-urban
1099,Children (0-14),Middle Income,44.33,Semi-urban
1100,Elderly (65+),High Income,91.07,Semi-urban
1101,Adults (15-64),Middle Income,66.18,Semi-urban
1102,Adults (15-64),High Income,62.26,Semi-urban
1103,Children (0-14),Low Income,56.62,Urban
1104,Elderly (65+),High Income,81.51,Rural
1105,Adults (15-64),Low Income,90.69,Rural
1106,Adults (15-64),High Income,79.88,Rural
1107,Elderly (65+),High Income,47.69,Urban
1108,Elderly (65+),Middle Income,53.05,Semi-urban
1109,Children (0-14),Low Income,82.34,Urban
1110,Adults (15-64),Low Income,55.9,Urban
1111,Children (0-14),High Income,88.86,Rural
1112,Elderly (65+),Middle Income,92.92,Semi-urban
1113,Elderly (65+),Low Income,68.77,Urban
1114,Adults (15-64),High Income,87.8,Urban
1115,Elderly (65+),High Income,69.13,Rural
1116,Elderly (65+),High Income,76.34,Urban
1117,Adults (15-64),Low Income,79.86,Semi-urban
1118,Children (0-14),Middle Income,54.79,Semi-urban
1119,Children (0-14),Middle Income,49.45,Urban
1120,Adults (15-64),High Income,47.84,Rural
1121,Children (0-14),Low Income,43.89,Rural
1122,Children (0-14),Middle Income,82.95,Rural
1123,Children (0-14),Middle Income,78.79,Semi-urban
1124,Children (0-14),Middle Income,89.24,Urban
1125,Children (0-14),High Income,75.9,Urban
1126,Adults (15-64),High Income,50.36,Rural
1127,Adults (15-64),Middle Income,69.22,Urban
1128,Children (0-14),Middle Income,43.7,Semi-urban
1129,Children (0-14),Middle Income,82.23,Semi-urban
1130,Elderly (65+),Middle Income,47.19,Semi-urban
1131,Adults (15-64),Low Income,94.17,Urban
1132,Adults (15-64),Low Income,72.24,Urban
1133,Children (0-14),Middle Income,71.63,Urban
1134,Elderly (65+),Low Income,58.43,Urban
1135,Adults (15-64),Middle Income,92.64,Urban
1136,Elderly (65+),Middle Income,86.91,Rural
1137,Children (0-14),Low Income,54.72,Semi-urban
1138,Children (0-14),Middle Income,43.5,Urban
1139,Children (0-14),Low Income,44.13,Semi-urban
1140,Adults (15-64),Middle Income,84.89,Semi-urban
1141,Adults (15-64),High Income,43.99,Urban
1142,Elderly (65+),Middle Income,45.36,Urban
1143,Adults (15-64),Low Income,53.63,Urban
1144,Children (0-14),Low Income,87.68,Urban
1145,Adults (15-64),Low Income,49.52,Semi-urban
1146,Elderly (65+),High Income,50.88,Rural
1147,Children (0-14),Middle Income,83.96,Semi-urban
1148,Adults (15-64),Low Income,79.41,Semi-urban
1149,Adults (15-64),Low Income,88.1,Rural
1150,Elderly (65+),Middle Income,86.77,Semi-urban
1151,Elderly (65+),High Income,86.32,Rural
1152,Adults (15-64),Low Income,61.74,Urban
1153,Children (0-14),Middle Income,64.74,Rural
1154,Children (0-14),Low Income,92.15,Semi-urban
1155,Children (0-14),Middle Income,56.66,Urban
1156,Adults (15-64),Low Income,68.97,Rural
1157,Adults (15-64),Middle Income,50.24,Rural
1158,Children (0-14),Low Income,71.59,Urban
1159,Adults (15-64),Middle Income,71.96,Urban
1160,Elderly (65+),Low Income,68.49,Rural
1161,Adults (15-64),Middle Income,46.21,Urban
1162,Elderly (65+),High Income,60.39,Urban
1163,Adults (15-64),Low Income,73.53,Semi-urban
1164,Adults (15-64),Low Income,83.26,Urban
1165,Children (0-14),Middle Income,69.26,Rural
1166,Adults (15-64),High Income,54.09,Rural
1167,Children (0-14),Middle Income,40.92,Rural
1168,Elderly (65+),Middle Income,73.05,Urban
1169,Elderly (65+),Low Income,87.44,Rural
1170,Elderly (65+),Low Income,47.7,Urban
1171,Elderly (65+),Low Income,52.98,Urban
